Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TP","Cultures et produits animaux","97","Hongrie","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","22281","","Donnée officielle"
"TP","Cultures et produits animaux","97","Hongrie","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","38418","","Donnée officielle"
"TP","Cultures et produits animaux","47","Îles Cook","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","1147","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","47","Îles Cook","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","1478","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","64","Îles Féroé","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","422","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","64","Îles Féroé","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","307","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","25","Îles Salomon","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","2513","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","25","Îles Salomon","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","3840","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TP","Cultures et produits animaux","100","Inde","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","6","","Donnée officielle"
"TP","Cultures et produits animaux","100","Inde","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","99","","Donnée officielle"
"TP","Cultures et produits animaux","101","Indonésie","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","0","","Donnée officielle"
"TP","Cultures et produits animaux","102","Iran (République islamique d')","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","2685","*","Chiffre non officiel"
"TP","Cultures et produits animaux","102","Iran (République islamique d')","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","2947","*","Chiffre non officiel"
"TP","Cultures et produits animaux","103","Iraq","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","244900","F","Estimation FAO"
"TP","Cultures et produits animaux","103","Iraq","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","206047","","Donnée officielle"
"TP","Cultures et produits animaux","104","Irlande","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","101107","","Donnée officielle"
"TP","Cultures et produits animaux","104","Irlande","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","74719","","Donnée officielle"
"TP","Cultures et produits animaux","99","Islande","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","796","","Donnée officielle"
"TP","Cultures et produits animaux","99","Islande","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","972","","Donnée officielle"
"TP","Cultures et produits animaux","106","Italie","5610","Importations - Quantité","1058","Viande, volaille","2015","2015","tonnes","51884","","Donnée officielle"
"TP","Cultures et produits animaux","106","Italie","5610","Importations - Quantité","1058","Viande, volaille","2018","2018","tonnes","48787","","Donnée officielle"
